ID,Slug,Name,Brand,Issues,Priority,"Priority Score","Priority Reason","Current Price",Capacity,Weight,Package,"Image Width","Image Height","Mapped Image Width","Mapped Image Height","Current Image URL","Source URL",Price,PriceMap,"Replacement Image URL",Notes
615,duluxeasycleanlauchuihieuquabematbong,"Dulux Easyclean Lau Chùi Hiệu Quả Bề Mặt Bóng",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-310.png,https://www.dulux.vn/vi/san-pham/dulux-easyclean-lau-chùi-hiệu-quả-bề-mặt-bóng,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
579,duluxeasycleanlauchuihieuquabematmo,"Dulux EasyClean Lau Chùi Hiệu Quả Bề Mặt Mờ",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-295.png,https://www.dulux.vn/vi/san-pham/dulux-easyclean-lau-chùi-hiệu-quả-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
535,duluxinspirengoaithatsacmaubenepbematbong,"Dulux Inspire Ngoại Thất Sắc Màu Bền Đẹp Bề Mặt Bóng",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-277.png,https://www.dulux.vn/vi/san-pham/dulux-inspire-ngoại-thất-sắc-màu-bền-đẹp-bề-mặt-bóng,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
563,duluxinspirengoaithatsacmaubenepbematmo,"Dulux Inspire Ngoại Thất Sắc Màu Bền Đẹp Bề Mặt Mờ",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-288.png,https://www.dulux.vn/vi/san-pham/dulux-inspire-ngoại-thất-sắc-màu-bền-đẹp-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
545,duluxinspirenoithatsacmaubenepbematbong,"Dulux Inspire Nội Thất Sắc Màu Bền Đẹp Bề Mặt Bóng",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-281.png,https://www.dulux.vn/vi/san-pham/dulux-inspire-nội-thất-sắc-màu-bền-đẹp-bề-mặt-bóng,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
585,duluxinspirenoithatsacmaubenepbematmo,"Dulux Inspire Nội Thất Sắc Màu Bền Đẹp Bề Mặt Mờ",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-298.png,https://www.dulux.vn/vi/san-pham/dulux-inspire-nội-thất-sắc-màu-bền-đẹp-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
529,duluxweathershieldbematbong,"Dulux Weathershield Bề Mặt Bóng",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-274.png,https://www.dulux.vn/vi/san-pham/dulux-weathershield-bề-mặt-bóng,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
573,duluxweathershieldbematmo,"Dulux Weathershield Bề Mặt Mờ",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"1L | 2L | 5L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-292.png,https://www.dulux.vn/vi/san-pham/dulux-weathershield-bề-mặt-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
617,sonlotcaocapdulux,"Sơn lót cao cấp Dulux",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 18L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-311.png,https://www.dulux.vn/vi/san-pham/sơn-lót-cao-cấp-dulux,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
599,sonlotnoithatcaocapduluxeasyclean,"Sơn lót nội thất cao cấp Dulux EasyClean",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/a935_160x160px-7.png,https://www.dulux.vn/vi/san-pham/sơn-lót-nội-thất-cao-cấp-dulux-easyclean,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
571,sonlotnoithatsieucaocapduluxambiance,"Sơn Lót Nội Thất Siêu Cao Cấp Dulux Ambiance",dulux,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/a968_160x160px-7.png,https://www.dulux.vn/vi/san-pham/sơn-lót-nội-thất-siêu-cao-cấp-dulux-ambiance,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
555,sonnuocngoaithatmaxilitetoughtudulux_bematbongmo,"Sơn nước ngoại thất Maxilite Tough từ Dulux bề mặt bóng mờ",maxilite,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-15.jpg,https://www.dulux.vn/vi/san-pham/sơn-nước-ngoại-thất-maxilite-tough-từ-dulux-bề-mặt-bóng-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
557,sonnuocnoithatmaxilitechephuhieuquatudulux,"Sơn nước nội thất Maxilite Che Phủ Hiệu Quả từ Dulux",maxilite,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/page_2-7.png,https://www.dulux.vn/vi/san-pham/sơn-nước-nội-thất-maxilite-che-phủ-hiệu-quả-từ-dulux,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
527,sonnuocnoithatmaxilitetotaltuduluxbematbongmo,"Sơn nước nội thất Maxilite Total từ Dulux Bề mặt Bóng Mờ",maxilite,missing_price|low_res,Cao,70,"co nguon hang, anh rat nho, nhom anh Akzo can xu ly",,"2L | 5L | 15L",,,160,160,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-273.png,https://www.dulux.vn/vi/san-pham/sơn-nước-nội-thất-maxilite-total-từ-dulux-bề-mặt-bóng-mờ,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
593,chatchongthamduluxaquatechtm3in1,"Chất chống thấm Dulux AquatechTM 3in1",dulux,missing_price|low_res,"Trung binh",62,"co nguon hang, nhom anh Akzo can xu ly",,,"6kg | 10kg | 20kg",,318,318,0,0,http://localhost:8080/wp-content/uploads/2026/02/picture1_copy-14.png,https://www.dulux.vn/vi/san-pham/chất-chống-thấm-dulux-aquatechtm-3in1,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
611,duluxambianceairfresh,"DULUX AMBIANCE AIRFRESH",dulux,missing_price|low_res,"Trung binh",62,"co nguon hang, nhom anh Akzo can xu ly",,"1L | 2L | 5L | 15L",,,181,200,0,0,http://localhost:8080/wp-content/uploads/2026/02/packshot_medium-308.png,https://www.dulux.vn/vi/san-pham/dulux-ambiance-airfresh,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
805,toa-waterproof-201-20kg,"Sơn chống thấm TOA Waterproof 201",toa,low_res,"Trung binh",60,"co nguon hang, it loi kem theo",255000,,"5kg | 20kg",,294,360,294,360,http://localhost:8080/wp-content/uploads/2026/02/official-toa-waterproof-201-20kg-toa_toa-waterproof-201-20kg.png,https://www.toagroup.com.vn/san-pham-chi-tiet/son-chong-tham-mau-toa-waterblock-color,,,,"Review anh: uu tien doi anh lon hon / doi map local neu co."
