ID,Slug,Name,Brand,Issues,"Current Price",Capacity,Weight,Package,"Source URL",Price,PriceMap,Notes
575,duluxweathershieldcolourprotectbematbong,"Dulux Weathershield Colour Protect Bề Mặt Bóng",dulux,missing_price|low_res,,2L,,,https://www.dulux.vn/vi/san-pham/dulux-weathershield-colour-protect-bề-mặt-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
537,duluxweathershieldcolourprotectbematmo,"Dulux Weathershield Colour Protect Bề Mặt Mờ",dulux,missing_price|low_res,,2L,,,https://www.dulux.vn/vi/san-pham/dulux-weathershield-colour-protect-bề-mặt-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
617,sonlotcaocapdulux,"Sơn lót cao cấp Dulux",dulux,missing_price|low_res,,"2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/sơn-lót-cao-cấp-dulux,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
599,sonlotnoithatcaocapduluxeasyclean,"Sơn lót nội thất cao cấp Dulux EasyClean",dulux,missing_price|low_res,,"2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/sơn-lót-nội-thất-cao-cấp-dulux-easyclean,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
571,sonlotnoithatsieucaocapduluxambiance,"Sơn Lót Nội Thất Siêu Cao Cấp Dulux Ambiance",dulux,missing_price|low_res,,"2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/sơn-lót-nội-thất-siêu-cao-cấp-dulux-ambiance,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
559,chatchongthamduluxaquatech,"Chất Chống Thấm Dulux Aquatech",dulux,missing_price,,,"1kg | 6kg | 10kg | 20kg",,https://www.dulux.vn/vi/san-pham/chất-chống-thấm-dulux-aquatech,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
613,chatchongthamduluxaquatechflexwaterproofing,"Chất Chống Thấm Dulux Aquatech Flex Waterproofing",dulux,missing_price,,,"6kg | 10kg | 20kg",,https://www.dulux.vn/vi/san-pham/chất-chống-thấm-dulux-aquatech-flex-waterproofing,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
551,chongthamsanduluxaquatechmax,"Chống thấm sàn Dulux Aquatech Max",dulux,missing_price,,,"6kg | 10kg | 20kg",,https://www.dulux.vn/vi/san-pham/chống-thấm-sàn-dulux-aquatech-max,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
589,duluxambiance5in1superflexx-bongmo,"Dulux Ambiance 5in1 Superflexx Bóng mờ",dulux,missing_price,,"1L | 2L | 3L | 5L",,,https://www.dulux.vn/vi/san-pham/dulux-ambiance-5in1-superflexx-bóng-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
565,duluxambiance5in1superflexx-sieubong,"Dulux Ambiance 5in1 Superflexx Siêu bóng",dulux,missing_price,,"1L | 2L | 3L | 5L",,,https://www.dulux.vn/vi/san-pham/dulux-ambiance-5in1-superflexx-siêu-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
539,duluxweathershieldchatchongtham,"Dulux Weathershield Chất Chống Thấm",dulux,missing_price,,"0.5L | 2L | 3L",,,https://www.dulux.vn/vi/san-pham/dulux-weathershield-chất-chống-thấm,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
603,duluxweathershieldpowerflexxbematbong,"Dulux Weathershield Powerflexx Bề Mặt Bóng",dulux,missing_price,,"1L | 2L | 5L | 6L",,,https://www.dulux.vn/vi/san-pham/dulux-weathershield-powerflexx-bề-mặt-bóng,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
561,duluxweathershieldpowerflexxbematmo,"Dulux Weathershield Powerflexx Bề Mặt Mờ",dulux,missing_price,,"1L | 2L | 5L | 6L",,,https://www.dulux.vn/vi/san-pham/dulux-weathershield-powerflexx-bề-mặt-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
595,duluxweathershieldroyalshine,"Dulux Weathershield Royal Shine",dulux,missing_price,,"2L | 3L",,,https://www.dulux.vn/vi/san-pham/dulux-weathershield-royal-shine,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
533,sonlotngoaithatsieucaocapduluxweathershieldpowersealer,"Sơn Lót Ngoại Thất Siêu Cao Cấp Dulux Weathershield Powersealer",dulux,missing_price,,"2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/sơn-lót-ngoại-thất-siêu-cao-cấp-dulux-weathershield-powersealer,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
567,sonlotnoithatcaocapsupersealer,"Sơn Lót Nội Thất Cao Cấp SuperSealer",dulux,missing_price,,"2L | 5L | 18L",,,https://www.dulux.vn/vi/san-pham/sơn-lót-nội-thất-cao-cấp-supersealer,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
