ID,Slug,Name,Brand,Issues,"Current Price",Capacity,Weight,Package,"Source URL",Price,PriceMap,Notes
543,bottrettuongnoingoaithatmaxilitetudulux,"Bột trét tường Nội &amp; Ngoại thất Maxilite từ Dulux",maxilite,missing_price|low_res,,,40kg,,https://www.dulux.vn/vi/san-pham/bột-trét-tường-nội-ngoại-thất-maxilite-từ-dulux,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
555,sonnuocngoaithatmaxilitetoughtudulux_bematbongmo,"Sơn nước ngoại thất Maxilite Tough từ Dulux bề mặt bóng mờ",maxilite,missing_price|low_res,,"2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/sơn-nước-ngoại-thất-maxilite-tough-từ-dulux-bề-mặt-bóng-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
557,sonnuocnoithatmaxilitechephuhieuquatudulux,"Sơn nước nội thất Maxilite Che Phủ Hiệu Quả từ Dulux",maxilite,missing_price|low_res,,"2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/sơn-nước-nội-thất-maxilite-che-phủ-hiệu-quả-từ-dulux,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
527,sonnuocnoithatmaxilitetotaltuduluxbematbongmo,"Sơn nước nội thất Maxilite Total từ Dulux Bề mặt Bóng Mờ",maxilite,missing_price|low_res,,"2L | 5L | 15L",,,https://www.dulux.vn/vi/san-pham/sơn-nước-nội-thất-maxilite-total-từ-dulux-bề-mặt-bóng-mờ,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
577,sondaumaxilite,"Sơn dầu Maxilite",maxilite,missing_price,,"0.75L | 2L | 2.5L | 17L",,,https://www.dulux.vn/vi/san-pham/sơn-dầu-maxilite,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
591,sonlotngannguarisetmaxilite,"Sơn Lót Ngăn Ngừa Rỉ Sét Maxilite",maxilite,missing_price,,"0.8L | 2L | 3L | 18L",,,https://www.dulux.vn/vi/san-pham/sơn-lót-ngăn-ngừa-rỉ-sét-maxilite,,,"Price = gia base; PriceMap = vi du 5L:442500 | 18L:1501500"
